# mode=ONNX timeScale=1 fixedDeltaTime=0.01999999 obsLen=89
# sensors=RayPerceptionSensor:0-64:65|VectorSensor_size24:65-88:24
# agents=0=Arena_0/Agent_Blue_0|1=Arena_0/Agent_Blue_1|2=Arena_0/Agent_Blue_2
mode,agentIdx,acadStep,agentStep,episodes,c0,c1,c2,d0,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88
ONNX,0,5,5,0,-0.1566685,1,-0.5255963,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.6363636,0.6363636,-0.7071068,-0.7071069,0,0,1,1,0,0,0,0,0,0,1,1,5.960464E-08,1,0.4,-0.4472136,-0.8944273,0.421637,0,0.9162457
ONNX,1,5,5,0,-0.01276466,1,-0.3351511,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.2593717,0.09090909,0,0.6246951,0.7808688,0,0,1,1,0,0,0,0,0,0,1,1,-5.960464E-08,1,0.9055385,-0.4166548,0.9090648,1,0,1
ONNX,2,5,5,0,-1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.7272727,0.2727273,-0.8320504,0.5547001,0,0,1,1,0,0,0,0,0,1,0,1,8.940697E-08,1,0.5099019,0.9785498,0.2060104,0.718022,0,0.9162457
ONNX,0,10,10,0,0.1831406,1,-0.8760414,1,0,0,1,0,0.4421977,0,0,1,0,0.370507,0,0,1,0,0.6800931,0,0,1,0,0.516637,0,0,1,0,0.4490693,0,0,1,0,0.4719852,0,0,1,0,0.4450435,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.512257,0,0,1,0,0.570814,0,0,1,0,0.5065248,0,0,1,0,0.4211299,0.6277419,0.6216798,-0.5812609,-0.8137172,-0.4337641,-0.864879,1,1,0,0,0.009999996,0,0,0,1,1,0.1819128,0.9833148,0.3744232,-0.5951365,-0.8036246,0.4315361,0,0.8838588
ONNX,1,10,10,0,-0.3397363,0.9650346,-0.1366792,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8952156,0,0,1,0,0.5289665,0,0,1,0,0.8495302,0,0,1,0,0.8956622,0,0,1,0,0.8519816,0,0,1,0,0.8569326,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.7006441,0,0,0,0,0.5252031,0,0,0,0,0.5330372,0.1005438,0.01411927,0.5391692,0.8421975,0.5128149,0.8240069,1,1,0,0,0.01666666,0,0,0,1,1,0.1073782,0.9942183,0.8790265,-0.3186683,0.9478664,1,0,1
ONNX,2,10,10,0,-0.4044865,0.6142642,0.7620463,1,0,0,1,0,0.3527372,0,0,1,0,0.3053369,0,0,1,0,0.5898095,0,0,1,0,0.3097172,0,0,1,0,0.5104166,0,0,0,1,1,0,0,1,0,0.472303,0,0,1,0,0.3452506,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2910637,0,0,0,0,0.8788046,0,0,1,0,0.2981689,0.7211393,0.2723719,-0.6199153,0.7846687,-0.2357431,0.02765195,1,0.9866667,0,1,0.009999996,0,0,1,0,1,-0.2981045,0.9545332,0.5023026,0.8770354,0.4804257,0.7008307,0,0.8838588
ONNX,0,15,15,0,0.3458927,1,-1,1,0,0,1,0,0.8895793,0,0,1,0,0.4599613,0,0,1,0,0.4399165,0,0,1,0,0.3472815,0,0,1,0,0.4403285,0,0,1,0,0.5222262,0,0,0,1,1,0,0,1,0,0.4715679,0,0,1,0,0.5440677,0,0,1,0,0.6525173,0,0,1,0,0.4119731,0,0,0,1,1,0,0,0,0,0.9167846,0.6250963,0.6187014,-0.338254,-0.9410548,-0.03523809,-0.06066996,1,0.9966667,0,1,0.02666666,0,0,0,1,1,0.443447,0.8963006,0.3682446,-0.796399,-0.6047715,0.4362992,0,0.8737022
ONNX,1,15,15,0,-0.8842086,1,-0.2776161,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8739292,0,0,1,0,0.7978482,0,0,1,0,0.8380448,0,0,1,0,0.6970059,0,0,1,0,0.8494941,0,0,1,0,0.8584371,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.6625211,0,0,0,0,0.6106313,0,0,0,0,0.5156985,0.1014004,0.01796298,0.5025202,0.8645655,0.01292509,0.06793272,1,0.9966667,0,1,0.03333332,0,0,0,1,1,0.1530204,0.988223,0.8735354,-0.2741873,0.9616764,1,0,1
ONNX,2,15,15,0,-0.5527905,0.7677429,0.9413629,1,0,0,1,0,0.3011922,0,0,1,0,0.2902838,0,0,1,0,0.3471981,0,0,0,1,1,0,0,1,0,0.5854939,0,0,1,0,0.3587878,0,0,1,0,0.5055777,0,0,0,1,1,0,0,1,0,0.4670105,0,0,0,0,0.8809643,0,0,0,1,1,0,0,0,0,0.7170996,0,0,1,0,0.3100977,0.718491,0.2736955,-0.4161716,0.9092861,-0.1637744,0.1025061,1,0.9866667,0,1,0.02666666,0,0,1,0,1,-0.5148698,0.8572685,0.4977399,0.7463228,0.6655842,0.6953273,0,0.8737022
ONNX,0,20,20,0,0.5339228,1,-1,1,0,0,1,0,0.4359728,0,0,0,1,1,0,0,1,0,0.4447913,0,0,1,0,0.525997,0,0,0,1,1,0,0,1,0,0.376008,0,0,1,0,0.48726,0,0,0,1,1,0,0,1,0,0.384975,0,0,1,0,0.4843764,0,0,0,0,0.8796101,0,0,1,0,0.4551643,0,0,0,0,0.8136312,0.6247625,0.6180749,-0.03089692,-0.9995227,-0.02462939,-0.06466497,1,0.9933333,0,1,0.04333332,0,0,0,1,1,0.6993815,0.7147488,0.3671948,-0.9479617,-0.3183846,0.4356738,0,0.8657832
ONNX,1,20,20,0,-0.4249473,1,-0.2499768,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8532959,0,0,0,1,1,0,0,1,0,0.8354375,0,0,1,0,0.5599793,0,0,0,1,1,0,0,1,0,0.8707291,0,0,0,0,0.8342165,0,0,0,1,1,0,0,0,0,0.5942559,0,0,0,0,0.8095663,0,0,0,0,0.4816714,0.1012462,0.01856705,0.4253021,0.9050515,-0.01806116,0.06170996,1,0.9933333,0,1,0.04999998,0,0,0,1,1,0.2393828,0.9709252,0.8729559,-0.1854393,0.9826558,1,0,1
ONNX,2,20,20,0,-0.003117442,0.9305381,0.5782243,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2882976,0,0,1,0,0.3097682,0,0,1,0,0.3259061,0,0,0,1,1,0,0,1,0,0.3995825,0,0,0,0,0.8328964,0,0,1,0,0.515808,0,0,0,0,0.6951153,0,0,1,0,0.4685021,0,0,0,0,0.6253772,0,0,0,1,1,0.715935,0.2758266,-0.1330971,0.991103,-0.1468231,0.1552435,1,0.9733334,0,1,0.04333332,0,0,1,0,1,-0.7430276,0.6692608,0.4925861,0.5290304,0.8486029,0.6888352,0,0.8657832
ONNX,0,25,25,0,0.01978433,1,-1,1,0,0,1,0,0.452375,0,0,1,0,0.4349034,0,0,0,1,1,0,0,1,0,0.4416555,0,0,1,0,0.4436976,0,0,1,0,0.6202016,0,0,0,0,0.958788,0,0,1,0,0.4143933,0,0,0,0,0.8505499,0,0,1,0,0.3679374,0,0,0,0,0.8031778,0,0,1,0,0.5016407,0,0,0,0,0.8017461,0.6245399,0.6174309,0.2794847,-0.9601502,-0.01390881,-0.06617759,1,0.9933333,0,1,0.05999997,0,0,0,1,1,0.8866309,0.462478,0.3662513,-0.9999631,0.008598566,0.4317712,0,0.8580966
ONNX,1,25,25,0,0.0179977,1,-0.08242843,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8404913,0,0,0,1,1,0,0,1,0,0.8381959,0,0,1,0,0.5199193,0,0,0,1,1,0,0,1,0,0.8876438,0,0,0,0,0.7295311,0,0,1,0,0.8541957,0,0,0,0,0.5473772,0,0,0,1,1,0,0,0,0,0.4577593,0.1012395,0.01926828,0.3529885,0.9356277,-0.002815187,0.06852092,1,0.9933333,0,1,0.06666663,0,0,0,1,1,0.3155721,0.9489016,0.8721153,-0.1043044,0.9945455,1,0,1
ONNX,2,25,25,0,-1,1,0.4243937,0,0,0,0,1,1,0,0,1,0,0.3647472,0,0,1,0,0.2773483,0,0,0,1,1,0,0,1,0,0.2880638,0,0,0,0,0.8780181,0,0,1,0,0.3307977,0,0,0,0,0.7182497,0,0,1,0,0.5837242,0,0,0,0,0.6367154,0,0,1,0,0.5020632,0,0,0,0,0.6008974,0,0,1,0,0.4623108,0.7158611,0.2784778,0.04814267,0.9988405,0.00788724,0.1758928,1,0.9733334,0,1,0.05999997,0,0,1,0,1,-0.8552592,0.5182004,0.4901748,0.372563,0.9280069,0.6757305,0,0.8580966
