# mode=PY timeScale=20 fixedDeltaTime=0.01999999 obsLen=89
# sensors=RayPerceptionSensor:0-64:65|VectorSensor_size24:65-88:24
# agents=0=Arena_0/Agent_Blue_0|1=Arena_0/Agent_Blue_1|2=Arena_0/Agent_Blue_2
mode,agentIdx,acadStep,agentStep,episodes,c0,c1,c2,d0,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88
PY,0,5,5,0,-0.141362,0.1407265,0.09593631,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.4545455,0.2727273,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0.2828427,-0.8320503,0.5547002,0.4807402,0,0.8012336
PY,1,5,5,0,-0.01333476,0.006063024,0.096549,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.7272727,0.4545455,-1,-1.192093E-07,0,0,1,1,0,0,0,0,1,0,0,1,1.192093E-07,1,0.4242641,1.192093E-07,1,0.8,1,0.496904
PY,2,5,5,0,-0.01808899,0.01467219,-0.3677673,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.9090909,0.5454546,-0.9805807,-0.1961161,0,0,1,1,0,0,0,0,0,0,1,1,-1.043081E-07,1,0.7211103,0.07297559,0.9973337,1,0,0.496904
PY,0,10,10,0,-0.2347235,0.231965,-0.06400007,0,0,0,0,1,1,0,0,1,0,0.3059215,0,0,1,0,0.3604141,0,0,0,1,1,0,0,1,0,0.5209795,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.7072117,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.4529597,0.2743641,0.03013471,0.9995459,-0.1067448,0.1128707,1,1,0,0,0.009999996,0,1,0,0,1,-0.02133682,0.9997724,0.2803073,-0.8483993,0.5293569,0.4774794,0,0.8022583
PY,1,10,10,0,-0.04601983,0.0387466,-0.3233076,0,0,0,1,0,0.476219,0,0,1,0,0.7000804,0,0,1,0,0.4859169,0,0,1,0,0.5802047,0,0,0,1,1,0,0,1,0,0.4145863,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.7498963,0,0,1,0,0.96712,0,0,0,1,1,0,0,0,1,1,0.7272727,0.4545455,-0.9995402,0.03032708,-1.44355E-08,-2.8871E-08,1,1,0,0,0,0,1,0,0,1,-0.03032708,0.9995402,0.4242641,-0.02959759,0.9995621,0.7996185,0,0.496904
PY,2,10,10,0,-0.03448711,0.03293587,-0.389219,0,0,0,1,0,0.9207147,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6839362,0,0,0,1,1,0,0,1,0,0.7345439,0,0,0,1,1,0,0,1,0,0.8293548,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.9090909,0.5454546,-0.9514348,-0.3078505,-0.0002088784,-0.0005408674,1,1,0,0,0.009999996,0,0,0,1,1,0.1152805,0.993333,0.7211103,0.1879483,0.9821789,1,0,0.496904
PY,0,15,15,0,-0.2350799,0.2336376,0.3253589,0,0,0,0,1,1,0,0,1,0,0.3592975,0,0,1,0,0.2972117,0,0,0,1,1,0,0,1,0,0.5181606,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.4498349,0.2775658,0.0100329,0.9999497,-0.1944007,0.1960101,1,1,0,0,0.02666666,0,1,0,0,1,0.0165762,0.9998626,0.2754132,-0.8391647,0.5438772,0.4710633,0,0.804409
PY,1,15,15,0,-0.06234578,0.05450844,0.5360771,0,0,0,1,0,0.4772054,0,0,1,0,0.4822685,0,0,0,1,1,0,0,1,0,0.7321424,1,0,0,0,0.7145185,0,0,1,0,0.4704934,0,0,0,1,1,0,0,1,0,0.4228486,0,0,1,0,0.883845,0,0,1,0,0.599426,0,0,1,0,0.9278812,0,0,0,1,1,0,0,0,1,1,0.7272705,0.4545426,-0.9974636,-0.0711782,-0.01492074,-0.02052594,1,1,0,0,0,0,1,0,0,1,0.07118866,0.9974629,0.4242606,0.07191142,0.9974111,0.7996151,0,0.496908
PY,2,15,15,0,-0.07106949,0.06539086,-0.5448171,0,1,0,0,0,0.4173947,0,0,1,0,0.8942706,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9071731,0,0,0,1,1,0,0,1,0,0.7684696,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.6634814,0.90909,0.5454526,-0.9067818,-0.4216005,-0.004682448,-0.01379696,1,1,0,0,0.02666666,0,0,0,1,1,0.2355824,0.9718544,0.7211084,0.3063459,0.9519204,1,0,0.496908
PY,0,20,20,0,-0.2725729,0.2659875,0.121122,0,0,0,1,0,0.8290933,0,0,1,0,0.2761837,0,0,1,0,0.4920591,0,0,0,1,1,0,0,1,0,0.2748593,0,0,0,1,1,0,0,1,0,0.5496395,1,0,0,0,0.7101149,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.446878,0.2809568,0.112012,0.9937069,-0.1737096,0.2164765,1,1,0,0,0.04333332,0,1,0,0,1,-0.06805358,0.9976817,0.2703038,-0.8915857,0.4528519,0.4648034,0,0.80542
